Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-01-02,2015,1,2,Friday,00,2015-00,62.18,62.96,62.07,62.49,12600000,52.21,0.0,52.21,52.21
2015-01-05,2015,1,5,Monday,01,2015-01,62.06,62.28,60.23,60.55,20100600,50.59,-0.03102853859413901,51.400000000000006,51.400000000000006
2015-01-06,2015,1,6,Tuesday,01,2015-01,60.64,60.75,58.35,58.98,29074100,49.27,-0.026092113065823264,50.690000000000005,50.690000000000005
2015-01-07,2015,1,7,Wednesday,01,2015-01,59.89,59.89,58.67,59.07,23843200,49.35,0.0016237061091941563,50.355000000000004,50.355000000000004
2015-01-08,2015,1,8,Thursday,01,2015-01,59.97,60.9,59.97,60.39,16971100,50.45,0.02228976697061813,50.374,50.374
2015-01-09,2015,1,9,Friday,01,2015-01,60.72,60.79,59.29,59.34,15396200,49.57,-0.017443012884043707,50.24,50.24
2015-01-12,2015,1,12,Monday,02,2015-02,59.28,59.4,58.27,58.83,15455200,49.15,-0.00847286665321767,50.08428571428571,50.08428571428571
2015-01-13,2015,1,13,Tuesday,02,2015-02,59.26,59.7,58.37,58.84,21644700,49.16,0.0002034587995929371,49.96875,49.96875
2015-01-14,2015,1,14,Wednesday,02,2015-02,58.84,58.84,55.27,56.81,49602300,47.46,-0.03458096013018708,49.69,49.69
2015-01-15,2015,1,15,Thursday,02,2015-02,55.73,56.61,54.5,54.99,42458100,45.94,-0.032026970080067496,49.315,49.315
2015-01-16,2015,1,16,Friday,02,2015-02,54.66,56.0,54.64,55.93,29368900,46.73,0.017196343056160135,49.08,49.08
2015-01-20,2015,1,20,Tuesday,03,2015-03,56.04,56.39,55.42,55.71,23477700,46.54,-0.004065910549967855,48.86833333333333,48.86833333333333
2015-01-21,2015,1,21,Wednesday,03,2015-03,55.45,56.42,55.19,55.89,21842400,46.69,0.00322303394929091,48.700769230769225,48.700769230769225
2015-01-22,2015,1,22,Thursday,03,2015-03,56.38,57.73,55.96,57.59,31423500,48.11,0.03041336474619838,48.65857142857142,48.65857142857142
2015-01-23,2015,1,23,Friday,03,2015-03,57.72,57.87,56.66,56.68,15458300,47.35,-0.015797131573477396,48.311428571428564,48.57133333333333
