Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-01-02,2015,1,2,Friday,00,2015-00,206.38,206.88,204.18,205.43,121465900,181.56,0.0,181.56,181.56
2015-01-05,2015,1,5,Monday,01,2015-01,204.17,204.37,201.35,201.72,169632600,178.28,-0.018065653227583134,179.92000000000002,179.92000000000002
2015-01-06,2015,1,6,Tuesday,01,2015-01,202.09,202.72,198.86,199.82,209151400,176.6,-0.009423378954453665,178.81333333333336,178.81333333333336
2015-01-07,2015,1,7,Wednesday,01,2015-01,201.42,202.72,200.88,202.31,125346700,178.8,0.012457531143827971,178.81,178.81
2015-01-08,2015,1,8,Thursday,01,2015-01,204.01,206.16,203.99,205.9,147217800,181.97,0.017729306487695773,179.442,179.442
2015-01-09,2015,1,9,Friday,01,2015-01,206.4,206.42,203.51,204.25,158567300,180.51,-0.008023300544045764,179.62,179.62
2015-01-12,2015,1,12,Monday,02,2015-02,204.41,204.6,201.92,202.65,144396100,179.1,-0.007811201595479433,179.54571428571427,179.54571428571427
2015-01-13,2015,1,13,Tuesday,02,2015-02,204.12,205.48,200.51,202.08,214553300,178.6,-0.0027917364600781314,179.42749999999998,179.42749999999998
2015-01-14,2015,1,14,Wednesday,02,2015-02,199.65,201.1,198.57,200.86,192991100,177.52,-0.006047032474803982,179.21555555555554,179.21555555555554
2015-01-15,2015,1,15,Thursday,02,2015-02,201.63,202.01,198.88,199.02,176613900,175.89,-0.009182063992789646,178.88299999999998,178.88299999999998
2015-01-16,2015,1,16,Friday,02,2015-02,198.77,201.82,198.55,201.63,211879600,178.2,0.013133208255159401,178.82090909090908,178.82090909090908
2015-01-20,2015,1,20,Tuesday,03,2015-03,202.4,202.72,200.17,202.06,130991100,178.58,0.0021324354657690225,178.80083333333334,178.80083333333334
2015-01-21,2015,1,21,Wednesday,03,2015-03,201.5,203.66,200.94,203.08,122942700,179.48,0.0050397580916115015,178.85307692307694,178.85307692307694
2015-01-22,2015,1,22,Thursday,03,2015-03,203.99,206.26,202.33,206.1,174356000,182.15,0.014876309338087923,179.08857142857144,179.08857142857144
2015-01-23,2015,1,23,Friday,03,2015-03,205.79,206.1,204.81,204.97,117516800,181.15,-0.005489980785067239,179.05928571428575,179.22600000000003
2015-01-26,2015,1,26,Monday,04,2015-04,204.71,205.56,203.85,205.45,92009700,181.57,0.0023185205630691375,179.29428571428573,179.37250000000003
2015-01-27,2015,1,27,Tuesday,04,2015-04,202.97,204.12,201.74,202.74,134044600,179.18,-0.013162967450569996,179.47857142857146,179.36117647058825
2015-01-28,2015,1,28,Wednesday,04,2015-04,204.17,204.29,199.91,200.14,168514300,176.88,-0.012836254046210582,179.3414285714286,179.22333333333336
2015-01-29,2015,1,29,Thursday,04,2015-04,200.38,202.3,198.68,201.99,173585400,178.52,0.00927182270465865,179.09500000000003,179.1863157894737
2015-01-30,2015,1,30,Friday,04,2015-04,200.57,202.17,199.13,199.45,197729700,176.27,-0.012603629845395425,178.79214285714286,179.0405
2015-02-02,2015,2,2,Monday,05,2015-05,200.05,202.03,197.86,201.92,163107000,178.45,0.01236739093436201,178.74571428571429,179.01238095238097
2015-02-03,2015,2,3,Tuesday,05,2015-05,203.0,204.85,202.55,204.84,124212900,181.03,0.014457831325301207,178.91928571428573,179.10409090909093
2015-02-04,2015,2,4,Wednesday,05,2015-05,203.92,205.38,203.51,204.06,134306700,180.35,-0.003756283488924539,179.1214285714286,179.15826086956523
2015-02-05,2015,2,5,Thursday,05,2015-05,204.86,206.3,204.77,206.12,97953200,182.17,0.010091488771832413,179.57000000000002,179.28375000000003
2015-02-06,2015,2,6,Friday,05,2015-05,206.56,207.24,204.92,205.55,125672000,181.66,-0.0027995828072678863,179.8171428571429,179.3788
